trial,recording,metrics_version,event_id,direction,turn_start_s,turn_end_s,turn_duration_s,chest_yaw_excursion_deg,pelvis_yaw_excursion_deg,chest_yaw_peak_rate_dps,chest_yaw_sparc,chest_yaw_submovement_count,chest_yaw_submovement_rate_hz,chest_pelvis_yaw_r,chest_pelvis_lag_s,chest_pelvis_gain,relative_yaw_range_deg,relative_yaw_sd_deg,chest_yaw_log10_dimensionless_jerk
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-11,1,92.47769260178458,97.06769223458461,4.589999632800029,95.95850006422442,47.00377432806366,32.95621706363963,-1.867403661552405,3,0.6535948235294118,0.9960242008373796,-0.3987711574569198,0.4898344002522375,49.613065212511806,16.869740025790602,4.840544652085449
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-11,1,89.22149286228057,93.5117925190566,4.290299656776027,98.36484990476546,56.79904722098681,40.454855914789064,-1.593836767867558,4,0.9323358086847073,0.9966879329094512,-0.3219659873279409,0.5774323579609821,43.04835215619058,14.979920946079623,5.123116199572342
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-12,-1,97.06769223458461,100.67759194579264,3.609899711208023,77.99454643132627,39.042515233416864,41.83785874889531,-1.7132637203963497,3,0.8310480179506358,0.9938359400471851,-0.37062682445384904,0.5005800664254592,41.221623027080966,14.70508060923801,5.064612058007458
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-12,-1,93.5117925190566,97.61039219116861,4.098599672112026,75.08797138948061,41.74027165412515,34.408266171103534,-1.7603489067364597,4,0.9759430830039527,0.9944439044414901,-0.25401674022200327,0.5558849291269137,33.481764036899506,11.313677124946414,5.165790364593726
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-13,1,100.67759194579264,104.52509163799266,3.8474996922000244,57.742159748022104,15.246196627916111,25.711502825762704,-1.7003157833261775,3,0.7797271578947369,0.937523376973471,-0.8132486877658626,0.26403925129313083,43.17999499134476,14.356791001450002,5.120187830405058
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-13,1,97.61039219116861,101.37689188984865,3.766499698680024,55.9920873019158,16.005352461154963,31.233683888583666,-1.533867539232764,2,0.5309969892473119,0.9528124674710625,-0.3819582815660435,0.2858502554986431,40.54778771347298,12.469357634894422,5.203229846101058
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-14,-1,104.52509163799266,109.0205912783527,4.495499640360029,73.37252535063833,29.877984073827278,32.67578682598293,-1.7180371935267797,4,0.8897787387387388,0.9379347274375083,-0.401034097726331,0.40720942793019654,46.090093873812975,16.067056013122006,5.49565853111035
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-14,-1,101.37689188984865,105.05159159587267,3.674699706024023,46.73286766938252,5.935596732282513,29.954851816256028,-1.624269024615541,2,0.544262160176341,0.8980665743619336,-0.7134606011025345,0.1270111813868267,40.79467296204729,14.411356919109082,5.197685763932051
Novice,IMU_Trial_1_RC_Novice.csv,2,smooth-15,1,109.0205912783527,112.95449096364072,3.933899685288025,81.81672642994346,39.22395024613581,34.37864775207796,-1.9564317467822832,3,0.7626020590253947,0.98741982815061,-0.30240519118141757,0.4794123641664126,42.97000791570818,13.729540015798653,4.890088747797754
Trained,IMU_Trial_3_RC_Trained.csv,2,smooth-15,1,105.05159159587267,108.9098912872087,3.8582996913360246,60.14155073371533,27.006792394894656,32.37297743933047,-1.7273269670949907,3,0.7775445766270119,0.9697147892274046,-0.35283811234370316,0.44905380831416875,34.28033698977061,11.66659669503014,5.107458240666025
